"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Bol Bol","Pho","C-F","25.2","14","6","23.3","17.8","12","0.667","16","0.75","16","0.25","0.563","0.59","3.1","1.5","0.3","0.1","0.1","0.5","4.6","3.4","4.9","7.4","105.8","116.6"
"","Blake Wesley","San","G","21.9","31","9.3","17.8","25.4","23","0.739","61","0.557","21","0.19","0.488","0.526","3.1","0.7","1.9","0.5","0.1","0.9","3.9","5.1","5.8","6.9","102.5","114"
"","Maxwell Lewis","Bro","F","22.5","1","1.1","40.1","0","0","0","0","0","1","1","1.5","1.5","3","0","0","0","0","0","3","3","3","0","0","0"
"","Taze Moore","Por","G","26.6","2","10","27.3","16.4","2","0.5","6","0.167","4","0.25","0.25","0.276","3","4","0.5","1","0","1","7","3.5","7.5","7.3","71.7","114.9"
"","Craig Porter","Cle","G","24.9","30","8.3","13.4","21.5","10","0.7","39","0.641","19","0.579","0.716","0.721","3","0.8","1","0.2","0.3","0.5","3.8","4","4.9","6.5","124.2","112.4"
"","Adem Bona","Phi","F","21.9","35","10.9","11.3","29","44","0.636","56","0.696","0","0","0.696","0.703","3","2.9","0.3","0.2","0.7","0.7","5.9","3.3","6.2","5.1","121.5","100.3"
"","Maxi Kleber","Dal","F","33","34","18.7","8.6","19.3","21","0.762","47","0.511","49","0.265","0.453","0.489","3","2.8","1.3","0.3","0.5","0.7","5.8","4.3","7.1","4.7","104.3","108.8"
"","Jae Crowder","Sac","F","34.6","7","13.1","11","18.7","6","0.833","5","0.6","12","0.25","0.441","0.509","2.9","2.4","0.6","0.4","0","0.6","5.3","3.4","5.9","4.9","105.3","107.5"
"","AJ Johnson","Mil","G","20.2","7","6.3","23.8","17.2","2","0.5","14","0.357","5","0.6","0.5","0.503","2.9","1","1","0.1","0","0.6","3.9","3.9","4.9","9.1","94.9","116.5"
"","Jaylon Tyson","Cle","G-F","22.2","32","9.1","15.1","13.5","15","0.733","49","0.49","34","0.324","0.488","0.513","2.9","2.1","0.8","0.2","0.1","0.4","5","3.7","5.8","7.5","112.2","103.9"
"","Tyler Smith","Mil","F","20.3","15","5","24.3","14.9","4","0.5","14","0.643","20","0.4","0.618","0.615","2.9","1.3","0.3","0.1","0.2","0.4","4.2","3.2","4.5","8.3","106.5","103.1"
"","Caleb Houstan","Orl","G","22.1","35","11.9","11.5","4.7","9","1","14","0.357","87","0.31","0.45","0.476","2.9","1","0.4","0.2","0.1","0.1","3.9","3.3","4.3","3.5","106.1","107.9"
"","A.J. Lawson","Tor","G","24.6","4","3.8","26.2","0","3","0.333","3","0.667","5","0.4","0.625","0.59","2.8","0.8","0","0","0","0","3.5","2.8","3.5","0","0","0"
"","Mason Jones","Sac","G","26.5","5","5.6","21.2","7.6","2","0.5","6","0.833","6","0.167","0.542","0.543","2.8","1.6","1.8","0","0","0.2","4.4","4.6","6.2","14.3","130.6","115"
"","Brandon Williams","Dal","G","25.2","17","7.1","19.7","19.9","13","0.769","25","0.44","15","0.333","0.463","0.514","2.8","0.8","1.1","0.2","0","0.6","3.5","3.9","4.6","7.6","102.4","113.8"
"","Landry Shamet","Nyk","G","27.9","19","10.4","13.3","11.8","4","0.25","21","0.571","31","0.29","0.49","0.484","2.7","0.8","0.4","0.4","0.1","0.4","3.5","3.2","3.9","3.7","96.2","112.6"
